L1_MARKS_CORRECTED,L1_Marks_Corrected,L2_MARKS_CORRECTED,L3_MARKS_CORRECTED,S1_MARKS_CORRECTED,S2_MARKS_CORRECTED,S3_MARKS_CORRECTED,L1_Marks_Class,L2_Marks_Class,L3_Marks_Class,S1_Marks_Class,S2_Marks_Class,S3_Marks_Class,NRC_CLASS
105,84,85,88,76,67,71,1,D,D,1,1,1,1
58,46,4,17,30,45,24,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL
38,30,39,45,38,30,40,PASS,PASS,PASS,PASS,PASS,PASS,PASS
110,88,70,60,54,49,80,D,1,1,2,PASS,1,1
100,80,44,35,64,39,61,1,PASS,PASS,1,PASS,1,2
44,35,35,35,14,38,42,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL
95,76,35,89,77,63,90,1,PASS,D,1,1,D,1
38,30,30,37,47,30,41,PASS,PASS,PASS,PASS,PASS,PASS,PASS
48,38,60,35,30,30,40,PASS,1,PASS,PASS,PASS,PASS,PASS
65,52,50,60,53,43,60,2,2,1,2,PASS,1,2
86,68,70,74,70,49,65,1,1,1,1,PASS,1,1
116,92,36,53,51,40,54,D,PASS,2,2,PASS,2,2
22,17,13,17,42,19,35,FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL
29,23,37,35,43,22,24,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL
87,69,57,61,46,65,64,1,2,1,PASS,1,1,1
63,50,47,57,51,41,54,2,PASS,2,2,PASS,2,2
95,76,50,44,72,67,92,1,2,PASS,1,1,D,1
26,20,10,8,45,23,17,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
118,94,76,92,85,62,97,D,1,D,D,1,D,1
60,48,75,60,37,30,78,PASS,1,1,PASS,PASS,1,2
64,51,44,30,68,46,76,2,PASS,PASS,1,PASS,1,2
110,88,66,80,64,54,67,D,1,1,1,2,1,1
114,91,68,75,84,62,79,D,1,1,1,1,1,1
107,85,73,71,70,64,66,D,1,1,1,1,1,1
93,74,55,51,71,57,80,1,2,2,1,2,1,1
87,69,45,58,54,40,64,1,PASS,2,2,PASS,1,2
105,84,30,52,72,60,90,1,PASS,2,1,1,D,1
49,39,30,38,45,41,52,PASS,PASS,PASS,PASS,PASS,2,PASS
N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
82,65,65,44,70,63,77,1,1,PASS,1,1,1,1
78,62,54,55,51,64,45,1,2,2,2,1,PASS,2
110,88,68,61,48,31,53,D,1,1,PASS,PASS,2,2
97,77,80,66,79,50,74,1,1,1,1,2,1,1
27,21,35,35,30,30,12,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL
58,46,52,51,35,30,43,PASS,2,2,PASS,PASS,PASS,PASS
106,84,62,68,38,49,53,1,1,1,PASS,PASS,2,1
44,35,14,35,30,21,21,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL
102,81,35,68,62,37,68,1,PASS,1,1,PASS,1,2
19,15,57,35,30,13,7,FAIL,2,PASS,PASS,FAIL,FAIL,FAIL
55,44,64,77,52,35,71,PASS,1,1,2,PASS,1,2
87,69,42,44,56,47,49,1,PASS,PASS,2,PASS,PASS,2
73,58,80,52,53,30,53,2,1,2,2,PASS,2,2
77,61,47,35,38,35,44,1,PASS,PASS,PASS,PASS,PASS,PASS
61,48,51,65,35,30,30,PASS,2,1,PASS,PASS,PASS,PASS
47,37,35,35,17,35,11,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL
101,80,66,72,70,56,78,1,1,1,1,2,1,1
118,94,57,85,45,51,72,D,2,D,PASS,2,1,1
109,87,30,77,58,47,58,D,PASS,1,2,PASS,2,1
62,49,30,35,50,36,43,PASS,PASS,PASS,2,PASS,PASS,PASS
98,78,35,50,41,44,61,1,PASS,2,PASS,PASS,1,2
20,16,35,35,23,11,30,FAIL,PASS,PASS,FAIL,FAIL,PASS,FAIL
92,73,50,63,59,36,50,1,2,1,2,PASS,2,2
72,57,30,30,35,40,41,2,PASS,PASS,PASS,PASS,PASS,PASS
110,88,74,80,65,55,93,D,1,1,1,2,D,1
85,68,54,38,48,44,61,1,2,PASS,PASS,PASS,1,2
38,30,30,56,39,35,41,PASS,PASS,2,PASS,PASS,PASS,PASS
117,93,73,90,81,65,88,D,1,D,1,1,D,1
29,23,35,35,30,9,30,FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL
121,96,83,80,74,63,76,D,1,1,1,1,1,1
94,75,56,71,55,39,70,1,2,1,2,PASS,1,1
N/A,N/A,35,35,N/A,0,N/A,N/A,PASS,PASS,N/A,FAIL,N/A,FAIL
85,68,60,48,44,51,82,1,1,PASS,PASS,2,1,2
44,35,44,30,37,35,35,PASS,PASS,PASS,PASS,PASS,PASS,PASS
78,62,90,68,77,62,76,1,D,1,1,1,1,1
84,67,73,90,63,51,85,1,1,D,1,2,D,1
44,35,35,35,6,21,30,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL
46,36,35,35,36,31,43,PASS,PASS,PASS,PASS,PASS,PASS,PASS
54,43,13,50,36,30,46,PASS,FAIL,2,PASS,PASS,PASS,FAIL
112,89,48,73,75,51,50,D,PASS,1,1,2,2,1
88,70,46,35,21,19,58,1,PASS,PASS,FAIL,FAIL,2,FAIL
72,57,30,53,50,32,38,2,PASS,2,2,PASS,PASS,PASS
26,20,40,35,39,32,30,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
89,71,35,30,40,40,53,1,PASS,PASS,PASS,PASS,2,PASS
101,80,30,40,37,30,50,1,PASS,PASS,PASS,PASS,2,PASS
58,46,35,52,41,35,58,PASS,PASS,2,PASS,PASS,2,PASS
N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
79,63,50,61,58,46,62,1,2,1,2,PASS,1,2
69,55,35,44,45,30,30,2,PASS,PASS,PASS,PASS,PASS,PASS
66,52,35,67,40,31,38,2,PASS,1,PASS,PASS,PASS,PASS
58,46,52,50,50,49,40,PASS,2,2,2,PASS,PASS,PASS
61,48,62,65,49,71,53,PASS,1,1,PASS,1,2,2
84,67,50,58,48,35,41,1,2,2,PASS,PASS,PASS,2
86,68,36,60,56,51,60,1,PASS,1,2,2,1,2
70,56,30,37,30,36,30,2,PASS,PASS,PASS,PASS,PASS,PASS
92,73,70,72,71,49,65,1,1,1,1,PASS,1,1
72,57,58,66,71,40,54,2,2,1,1,PASS,2,2
106,84,56,60,52,46,67,1,2,1,2,PASS,1,1
84,67,80,75,64,48,60,1,1,1,1,PASS,1,1
85,68,49,38,37,36,35,1,PASS,PASS,PASS,PASS,PASS,PASS
52,41,30,40,60,37,40,PASS,PASS,PASS,1,PASS,PASS,PASS
120,96,64,51,58,48,82,D,1,2,2,PASS,1,1
114,91,54,54,84,59,80,D,2,2,1,2,1,1
98,78,51,38,60,53,50,1,2,PASS,1,2,2,2
52,41,35,35,30,30,40,PASS,PASS,PASS,PASS,PASS,PASS,PASS
32,25,9,35,21,43,19,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL
75,60,50,40,36,35,69,1,2,PASS,PASS,PASS,1,PASS
38,30,8,15,24,30,11,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL
48,38,30,48,30,30,35,PASS,PASS,PASS,PASS,PASS,PASS,PASS
65,52,72,41,52,50,86,2,1,PASS,2,2,D,2
49,39,32,30,58,39,48,PASS,PASS,PASS,2,PASS,PASS,PASS
105,84,66,66,57,52,68,1,1,1,2,2,1,1
71,56,50,77,37,40,41,2,2,1,PASS,PASS,PASS,2
48,38,10,35,36,21,14,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL
31,24,10,41,40,33,58,FAIL,FAIL,PASS,PASS,PASS,2,FAIL
78,62,58,65,43,48,73,1,2,1,PASS,PASS,1,2
65,52,36,69,39,30,51,2,PASS,1,PASS,PASS,2,PASS
76,60,30,41,30,30,51,1,PASS,PASS,PASS,PASS,2,PASS
79,63,35,55,21,20,44,1,PASS,2,FAIL,FAIL,PASS,FAIL
60,48,44,38,36,35,44,PASS,PASS,PASS,PASS,PASS,PASS,PASS
58,46,40,46,56,30,67,PASS,PASS,PASS,2,PASS,1,PASS
70,56,30,30,30,32,39,2,PASS,PASS,PASS,PASS,PASS,PASS
95,76,75,83,67,59,81,1,1,1,1,2,1,1
117,93,53,68,44,44,63,D,2,1,PASS,PASS,1,1
38,30,35,50,35,31,49,PASS,PASS,2,PASS,PASS,PASS,PASS
118,94,76,60,76,58,87,D,1,1,1,2,D,1
61,48,35,51,50,30,77,PASS,PASS,2,2,PASS,1,PASS
86,68,31,53,32,42,40,1,PASS,2,PASS,PASS,PASS,PASS
113,90,63,80,58,64,92,D,1,1,2,1,D,1
74,59,30,35,30,45,54,2,PASS,PASS,PASS,PASS,2,PASS
108,86,74,83,72,47,69,D,1,1,1,PASS,1,1
38,30,35,35,39,30,36,PASS,PASS,PASS,PASS,PASS,PASS,FAIL
90,72,39,30,30,34,44,1,PASS,PASS,PASS,PASS,PASS,PASS
38,30,11,13,21,19,22,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
44,35,18,6,19,17,4,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
112,89,83,86,59,48,73,D,1,D,2,PASS,1,1
86,68,71,75,76,50,72,1,1,1,1,2,1,1
96,76,30,73,41,35,57,1,PASS,1,PASS,PASS,2,2
75,60,40,48,36,36,74,1,PASS,PASS,PASS,PASS,1,PASS
9,7,12,7,18,30,20,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL
109,87,71,75,49,42,69,D,1,1,PASS,PASS,1,1
68,54,49,35,43,30,46,2,PASS,PASS,PASS,PASS,PASS,PASS
44,35,48,40,42,35,39,PASS,PASS,PASS,PASS,PASS,PASS,PASS
13,10,35,44,37,15,42,FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL
47,37,44,35,50,39,30,PASS,PASS,PASS,2,PASS,PASS,PASS
60,48,30,35,46,30,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS
74,59,30,60,50,42,58,2,PASS,1,2,PASS,2,2
55,44,46,60,35,30,37,PASS,PASS,1,PASS,PASS,PASS,PASS
72,57,46,53,35,40,44,2,PASS,2,PASS,PASS,PASS,PASS
44,35,19,35,12,12,21,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL
12,9,19,11,16,3,22,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
100,80,58,57,42,30,43,1,2,2,PASS,PASS,PASS,2
107,85,50,43,35,46,64,D,2,PASS,PASS,PASS,1,2
27,21,35,35,37,31,30,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
79,63,39,30,39,32,55,1,PASS,PASS,PASS,PASS,2,PASS
80,64,51,65,42,30,35,1,2,1,PASS,PASS,PASS,PASS
108,86,61,66,35,46,50,D,1,1,PASS,PASS,2,2
77,61,41,51,51,49,53,1,PASS,2,2,PASS,2,2
39,31,35,36,44,30,35,PASS,PASS,PASS,PASS,PASS,PASS,PASS
12,9,7,14,26,10,15,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
54,43,7,43,30,30,49,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
51,40,17,35,16,25,30,PASS,FAIL,PASS,FAIL,FAIL,PASS,FAIL
105,84,48,45,54,43,55,1,PASS,PASS,2,PASS,2,2
45,36,57,56,41,39,56,PASS,2,2,PASS,PASS,2,PASS
52,41,11,7,35,35,25,PASS,FAIL,FAIL,PASS,PASS,FAIL,FAIL
100,80,60,60,64,56,78,1,1,1,1,2,1,1
14,11,35,10,20,10,30,FAIL,PASS,FAIL,FAIL,FAIL,PASS,FAIL
46,36,13,15,11,15,15,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
95,76,30,30,37,30,40,1,PASS,PASS,PASS,PASS,PASS,PASS
100,80,36,52,51,45,66,1,PASS,2,2,PASS,1,2
12,9,35,57,30,14,7,FAIL,PASS,2,PASS,FAIL,FAIL,FAIL
44,35,35,35,39,30,36,PASS,PASS,PASS,PASS,PASS,PASS,PASS
102,81,66,79,55,51,79,1,1,1,2,2,1,1
45,36,30,40,37,30,46,PASS,PASS,PASS,PASS,PASS,PASS,PASS
73,58,66,62,50,58,77,2,1,1,2,2,1,1
104,83,52,48,59,36,63,1,2,PASS,2,PASS,1,2
63,50,37,35,30,45,56,2,PASS,PASS,PASS,PASS,2,PASS
94,75,52,35,63,35,52,1,2,PASS,1,PASS,2,2
66,52,38,30,39,31,51,2,PASS,PASS,PASS,PASS,2,PASS
89,71,31,46,53,35,72,1,PASS,PASS,2,PASS,1,2
5,4,11,46,21,23,26,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL
94,75,35,37,55,51,78,1,PASS,PASS,2,2,1,2
46,36,36,35,35,30,38,PASS,PASS,PASS,PASS,PASS,PASS,PASS
53,42,19,35,35,26,36,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL
68,54,30,30,36,35,42,2,PASS,PASS,PASS,PASS,PASS,PASS
93,74,53,68,74,49,80,1,2,1,1,PASS,1,1
57,45,30,46,39,51,65,PASS,PASS,PASS,PASS,2,1,PASS
45,36,14,35,36,19,35,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL
81,64,30,35,46,35,60,1,PASS,PASS,PASS,PASS,1,PASS
82,65,50,30,43,37,51,1,2,PASS,PASS,PASS,2,PASS
10,8,17,35,19,5,21,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL
22,17,5,35,30,30,23,FAIL,FAIL,PASS,PASS,PASS,FAIL,FAIL
66,52,46,60,40,32,51,2,PASS,1,PASS,PASS,2,PASS
75,60,45,30,49,44,59,1,PASS,PASS,PASS,PASS,2,PASS
84,67,30,30,38,30,49,1,PASS,PASS,PASS,PASS,PASS,PASS
25,20,35,16,43,14,30,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL
56,44,30,40,50,36,39,PASS,PASS,PASS,2,PASS,PASS,PASS
90,72,35,60,37,30,67,1,PASS,1,PASS,PASS,1,2
44,35,35,30,44,35,46,PASS,PASS,PASS,PASS,PASS,PASS,PASS
44,35,41,40,45,30,61,PASS,PASS,PASS,PASS,PASS,1,PASS
38,30,7,14,17,18,14,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
40,32,35,35,30,13,18,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL
65,52,N/A,61,46,36,44,2,N/A,1,PASS,PASS,PASS,FAIL
108,86,93,98,87,76,87,D,D,D,D,1,D,D   
55,44,13,35,40,30,43,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
88,70,30,54,61,46,58,1,PASS,2,1,PASS,2,2
18,14,17,37,37,23,47,FAIL,FAIL,PASS,PASS,FAIL,PASS,FAIL
27,21,35,35,30,30,46,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
111,88,89,76,75,62,78,D,D,1,1,1,1,1
74,59,40,30,42,48,72,2,PASS,PASS,PASS,PASS,1,PASS
68,54,30,50,46,37,60,2,PASS,2,PASS,PASS,1,PASS
72,57,44,30,30,30,35,2,PASS,PASS,PASS,PASS,PASS,PASS
87,69,35,53,71,47,44,1,PASS,2,1,PASS,PASS,2
111,88,60,66,62,35,41,D,1,1,1,PASS,PASS,1
58,46,30,30,42,32,43,PASS,PASS,PASS,PASS,PASS,PASS,PASS
74,59,38,57,44,42,56,2,PASS,2,PASS,PASS,2,PASS
31,24,35,36,31,11,19,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL
106,84,30,66,46,48,59,1,PASS,1,PASS,PASS,2,2
47,37,35,30,46,35,40,PASS,PASS,PASS,PASS,PASS,PASS,PASS
39,31,35,18,26,21,25,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
65,52,30,30,46,30,47,2,PASS,PASS,PASS,PASS,PASS,PASS
53,42,35,35,12,22,24,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
71,56,30,42,35,30,37,2,PASS,PASS,PASS,PASS,PASS,PASS
50,40,60,30,50,37,30,PASS,1,PASS,2,PASS,PASS,PASS
21,16,35,35,19,17,35,FAIL,PASS,PASS,FAIL,FAIL,PASS,FAIL
38,30,85,35,59,36,40,PASS,D,PASS,2,PASS,PASS,PASS
108,86,80,87,63,53,76,D,1,D,1,2,1,1
85,68,30,65,44,41,50,1,PASS,1,PASS,PASS,2,2
31,24,35,48,30,21,20,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL
85,68,30,51,67,35,50,1,PASS,2,1,PASS,2,2
120,96,76,93,82,81,80,D,1,D,1,1,1,D   
28,22,35,16,30,16,45,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL
106,84,70,58,74,39,63,1,1,2,1,PASS,1,1
42,33,35,35,37,40,30,PASS,PASS,PASS,PASS,PASS,PASS,PASS
38,30,42,42,37,35,46,PASS,PASS,PASS,PASS,PASS,PASS,PASS
122,97,93,95,93,88,93,D,D,D,D,D,D,D   
87,69,76,57,53,46,53,1,1,2,2,PASS,2,2
15,12,35,35,18,14,19,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL
84,67,63,96,62,47,56,1,1,D,1,PASS,2,1
55,44,51,68,41,44,38,PASS,2,1,PASS,PASS,PASS,PASS
91,72,30,44,35,30,50,1,PASS,PASS,PASS,PASS,2,PASS
75,60,35,41,30,30,35,1,PASS,PASS,PASS,PASS,PASS,PASS
63,50,50,43,46,30,31,2,2,PASS,PASS,PASS,PASS,PASS
112,89,38,43,45,30,37,D,PASS,PASS,PASS,PASS,PASS,PASS
22,17,18,35,30,16,13,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL
57,45,75,36,65,54,55,PASS,1,PASS,1,2,2,2
71,56,65,78,58,44,50,2,1,1,2,PASS,2,2
60,48,90,35,52,39,54,PASS,D,PASS,2,PASS,2,2
99,79,58,63,67,49,73,1,2,1,1,PASS,1,1
106,84,90,92,76,66,86,1,D,D,1,1,D,1
109,87,70,63,73,59,71,D,1,1,1,2,1,1
84,67,30,43,48,57,57,1,PASS,PASS,PASS,2,2,2
93,74,30,35,36,30,30,1,PASS,PASS,PASS,PASS,PASS,PASS
84,67,55,84,68,42,43,1,2,1,1,PASS,PASS,1
87,69,85,97,47,63,66,1,D,D,PASS,1,1,1
23,18,35,35,7,7,44,FAIL,PASS,PASS,FAIL,FAIL,PASS,FAIL
117,93,67,86,70,63,75,D,1,D,1,1,1,1
73,58,50,73,49,52,58,2,2,1,PASS,2,2,2
87,69,54,45,46,40,41,1,2,PASS,PASS,PASS,PASS,2
62,49,72,40,74,47,43,PASS,1,PASS,1,PASS,PASS,2
121,96,82,92,72,65,74,D,1,D,1,1,1,1
58,46,30,37,35,30,44,PASS,PASS,PASS,PASS,PASS,PASS,PASS
45,36,13,35,44,23,30,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL
57,45,66,45,45,45,77,PASS,1,PASS,PASS,PASS,1,2
123,98,71,96,66,65,46,D,1,D,1,1,PASS,1
107,85,45,14,58,43,60,D,PASS,FAIL,2,PASS,1,FAIL
115,92,60,77,61,62,63,D,1,1,1,1,1,1
96,76,44,50,46,30,67,1,PASS,2,PASS,PASS,1,2
52,41,72,53,57,55,54,PASS,1,2,2,2,2,2
63,50,10,35,21,23,35,2,FAIL,PASS,FAIL,FAIL,PASS,FAIL
46,36,70,52,37,56,57,PASS,1,2,PASS,2,2,2
30,24,12,35,22,10,10,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL
38,30,30,46,46,38,41,PASS,PASS,PASS,PASS,PASS,PASS,PASS
101,80,45,46,52,41,50,1,PASS,PASS,2,PASS,2,2
39,31,35,35,36,16,35,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL
93,74,30,51,30,31,54,1,PASS,2,PASS,PASS,2,PASS
51,40,N/A,N/A,N/A,0,N/A,PASS,N/A,N/A,N/A,FAIL,N/A,FAIL
26,20,35,18,30,23,11,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL
38,30,35,35,35,43,38,PASS,PASS,PASS,PASS,PASS,PASS,PASS
44,35,35,35,30,30,38,PASS,PASS,PASS,PASS,PASS,PASS,FAIL
53,42,31,35,44,30,47,PASS,PASS,PASS,PASS,PASS,PASS,PASS
59,47,30,44,35,31,30,PASS,PASS,PASS,PASS,PASS,PASS,PASS
75,60,30,60,75,31,77,1,PASS,1,1,PASS,1,2
80,64,79,82,76,55,67,1,1,1,1,2,1,1
45,36,35,10,30,20,16,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL
53,42,35,35,39,30,35,PASS,PASS,PASS,PASS,PASS,PASS,PASS
112,89,80,79,75,61,78,D,1,1,1,1,1,1
115,92,99,88,83,78,98,D,D,D,1,1,D,D   
119,95,66,95,69,51,85,D,1,D,1,2,D,1
119,95,69,65,63,69,50,D,1,1,1,1,2,1
38,30,15,17,48,21,30,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL
110,88,76,70,45,36,42,D,1,1,PASS,PASS,PASS,1
62,49,81,47,70,35,58,PASS,1,PASS,1,PASS,2,2
87,69,53,55,56,37,50,1,2,2,2,PASS,2,2
46,36,36,35,15,35,35,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL
85,68,70,13,35,34,65,1,1,FAIL,PASS,PASS,1,FAIL
95,76,56,67,42,42,68,1,2,1,PASS,PASS,1,2
120,96,60,95,77,68,92,D,1,D,1,1,D,1
49,39,30,60,49,35,35,PASS,PASS,1,PASS,PASS,PASS,PASS
97,77,75,65,60,54,44,1,1,1,1,2,PASS,1
104,83,53,61,77,52,97,1,2,1,1,2,D,1
73,58,68,45,54,43,47,2,1,PASS,2,PASS,PASS,2
45,36,35,35,30,30,45,PASS,PASS,PASS,PASS,PASS,PASS,PASS
32,25,42,35,19,35,35,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL
106,84,84,65,71,71,69,1,1,1,1,1,1,1
72,57,72,94,58,40,73,2,1,D,2,PASS,1,1
73,58,99,72,72,41,62,2,D,1,1,PASS,1,1
57,45,35,30,49,31,57,PASS,PASS,PASS,PASS,PASS,2,PASS
109,87,82,60,61,60,54,D,1,1,1,1,2,1
55,44,85,60,70,52,64,PASS,D,1,1,2,1,1
115,92,51,62,46,35,71,D,2,1,PASS,PASS,1,1
12,9,35,48,55,41,35,FAIL,PASS,PASS,2,PASS,PASS,FAIL
107,85,86,97,89,79,85,D,D,D,D,1,D,D   
92,73,66,36,55,55,35,1,1,PASS,2,2,PASS,2
91,72,86,70,80,64,76,1,D,1,1,1,1,1
97,77,50,57,60,30,41,1,2,2,1,PASS,PASS,2
25,20,35,35,30,15,25,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL
82,65,31,53,35,30,36,1,PASS,2,PASS,PASS,PASS,PASS
66,52,35,46,39,49,48,2,PASS,PASS,PASS,PASS,PASS,PASS
8,6,13,35,30,15,35,FAIL,FAIL,PASS,PASS,FAIL,PASS,FAIL
61,48,30,36,36,39,36,PASS,PASS,PASS,PASS,PASS,PASS,PASS
98,78,48,72,55,35,43,1,PASS,1,2,PASS,PASS,2
102,81,76,77,67,62,69,1,1,1,1,1,1,1
60,48,38,35,55,54,69,PASS,PASS,PASS,2,2,1,PASS
38,30,35,35,30,11,30,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL
69,55,30,42,49,30,37,2,PASS,PASS,PASS,PASS,PASS,PASS
85,68,60,60,70,46,57,1,1,1,1,PASS,2,1
52,41,56,55,57,47,42,PASS,2,2,2,PASS,PASS,PASS
103,82,58,56,57,44,65,1,2,2,2,PASS,1,1
96,76,95,97,78,92,98,1,D,D,1,D,D,D   
12,9,35,17,18,11,37,FAIL,PASS,FAIL,FAIL,FAIL,PASS,FAIL
70,56,46,63,53,30,53,2,PASS,1,2,PASS,2,2
91,72,35,30,53,45,48,1,PASS,PASS,2,PASS,PASS,PASS
57,45,30,30,30,31,62,PASS,PASS,PASS,PASS,PASS,1,PASS
63,50,41,60,70,35,53,2,PASS,1,1,PASS,2,2
109,87,90,90,88,78,87,D,D,D,D,1,D,D   
78,62,66,74,38,44,68,1,1,1,PASS,PASS,1,2
97,77,55,60,70,42,63,1,2,1,1,PASS,1,1
18,14,35,35,60,35,24,FAIL,PASS,PASS,1,PASS,FAIL,FAIL
104,83,82,91,66,63,59,1,1,D,1,1,2,1
61,48,35,35,38,49,41,PASS,PASS,PASS,PASS,PASS,PASS,PASS
78,62,66,72,60,44,37,1,1,1,1,PASS,PASS,2
56,44,7,38,30,30,53,PASS,FAIL,PASS,PASS,PASS,2,FAIL
87,69,35,30,40,46,48,1,PASS,PASS,PASS,PASS,PASS,PASS
109,87,46,50,60,60,80,D,PASS,2,1,1,1,1
84,67,35,37,36,51,51,1,PASS,PASS,PASS,2,2,PASS
77,61,82,85,54,35,30,1,1,D,2,PASS,PASS,2
60,48,38,40,52,30,37,PASS,PASS,PASS,2,PASS,PASS,PASS
91,72,44,56,43,48,60,1,PASS,2,PASS,PASS,1,2
21,16,35,35,42,37,30,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
114,91,90,95,72,64,69,D,D,D,1,1,1,1
104,83,75,70,48,49,63,1,1,1,PASS,PASS,1,1
44,35,46,30,35,35,49,PASS,PASS,PASS,PASS,PASS,PASS,PASS
87,69,72,56,40,43,79,1,1,2,PASS,PASS,1,1
103,82,64,48,73,52,69,1,1,PASS,1,2,1,1
91,72,94,70,84,68,56,1,D,1,1,1,2,1
48,38,8,35,37,22,30,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL
63,50,35,66,45,42,54,2,PASS,1,PASS,PASS,2,PASS
67,53,65,58,55,44,55,2,1,2,2,PASS,2,2
64,51,56,60,41,52,64,2,2,1,PASS,2,1,2
57,45,56,40,58,36,46,PASS,2,PASS,2,PASS,PASS,PASS
108,86,64,84,56,45,81,D,1,1,2,PASS,1,1
111,88,75,89,72,52,87,D,1,D,1,2,D,1
113,90,83,87,72,48,76,D,1,D,1,PASS,1,1
87,69,70,60,50,40,43,1,1,1,2,PASS,PASS,2
104,83,66,75,59,45,73,1,1,1,2,PASS,1,1
34,27,35,35,20,20,12,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL
63,50,67,42,35,37,35,2,1,PASS,PASS,PASS,PASS,PASS
56,44,35,14,44,30,41,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL
91,72,30,90,37,43,58,1,PASS,D,PASS,PASS,2,2
44,35,17,35,39,14,57,PASS,FAIL,PASS,PASS,FAIL,2,FAIL
30,24,5,35,25,18,12,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL
7,5,16,10,23,16,35,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL
28,22,15,35,11,30,6,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL
68,54,38,67,30,43,74,2,PASS,1,PASS,PASS,1,2
97,77,78,90,66,69,80,1,1,D,1,1,1,1
100,80,61,53,44,30,52,1,1,2,PASS,PASS,2,2
108,86,70,71,68,40,91,D,1,1,1,PASS,D,1
96,76,57,85,80,62,80,1,2,D,1,1,1,1
121,96,73,68,85,63,45,D,1,1,D,1,PASS,1
77,61,30,42,46,30,37,1,PASS,PASS,PASS,PASS,PASS,PASS
50,40,67,81,64,44,88,PASS,1,1,1,PASS,D,1
71,56,35,35,30,18,23,2,PASS,PASS,PASS,FAIL,FAIL,FAIL
65,52,35,42,30,13,40,2,PASS,PASS,PASS,FAIL,PASS,FAIL
114,91,41,81,48,53,83,D,PASS,1,PASS,2,1,1
94,75,72,57,60,48,42,1,1,2,1,PASS,PASS,2
47,37,54,39,44,42,48,PASS,2,PASS,PASS,PASS,PASS,PASS
