L1_MARKS_CORRECTED,L2_MARKS_CORRECTED,L3_MARKS_CORRECTED,S1_MARKS_CORRECTED,S2_MARKS_CORRECTED,S3_MARKS_CORRECTED,TOTAL_MARKS,NRC_RESULT
63,71,90,64,66,63,417,P
108,81,67,62,72,75,465,P
15,35,35,20,51,35,191,F
106,85,92,81,86,94,544,P
102,35,45,48,52,73,355,P
38,35,57,16,23,30,199,F
112,81,92,89,80,85,539,P
100,70,83,39,53,68,413,P
116,94,82,82,90,97,561,P
89,36,50,56,42,45,318,P
58,85,70,40,50,66,369,P
122,99,99,99,96,99,614,P
101,45,60,63,49,53,371,P
60,87,42,56,56,68,369,P
61,36,43,12,35,42,229,F
38,44,30,30,35,78,255,P
88,56,87,57,35,66,389,P
114,81,75,95,88,90,543,P
49,35,35,30,30,43,222,P
50,38,5,8,4,35,140,F
6,18,35,14,19,7,99,F
78,85,40,48,49,63,363,P
58,36,30,35,30,35,224,P
86,30,47,54,30,48,295,P
48,35,35,35,30,30,213,F
115,96,94,84,46,80,515,P
90,60,84,53,43,71,401,P
44,14,35,6,9,22,130,F
97,80,83,66,51,87,464,P
46,56,54,44,30,30,260,P
94,87,70,67,66,67,451,P
91,35,30,37,42,78,313,P
68,66,65,40,49,65,353,P
56,68,61,50,41,47,323,P
38,68,81,56,40,62,345,P
88,44,40,51,30,44,297,P
N\A,61,35,37,0,69,202,F
45,37,12,45,45,47,231,F
115,75,96,65,58,69,478,P
31,40,10,35,15,20,151,F
75,43,80,57,30,42,327,P
73,71,65,49,53,69,380,P
22,60,35,46,38,37,238,F
54,36,15,30,17,15,167,F
17,35,35,22,47,56,212,F
83,66,30,62,50,60,351,P
88,88,50,79,78,95,478,P
83,40,41,68,51,74,357,P
100,88,73,68,61,74,464,P
62,35,35,14,5,35,186,F
44,46,46,60,40,30,266,P
62,83,46,56,35,35,317,P
80,90,72,60,64,77,443,P
110,87,84,81,61,90,513,P
100,73,93,63,41,41,411,P
4,45,62,30,39,36,216,F
88,88,86,57,58,83,460,P
105,95,92,62,52,95,501,P
8,7,35,13,10,6,79,F
14,35,38,18,10,20,135,F
50,45,35,35,35,30,230,P
88,93,74,48,64,70,437,P
70,40,40,67,51,63,331,P
89,77,35,71,65,42,379,P
70,78,45,76,54,60,383,P
7,50,35,23,35,50,200,F
110,80,75,74,65,77,481,P
76,75,94,56,40,60,401,P
50,30,50,35,37,30,232,P
75,79,35,50,52,35,326,P
74,62,54,53,46,39,328,P
93,94,78,83,70,77,495,P
101,59,60,56,50,55,381,P
59,56,38,42,59,47,301,P
107,62,98,76,53,60,456,P
38,50,12,39,38,35,212,F
119,95,93,80,78,88,553,P
110,92,94,85,82,89,552,P
38,35,30,50,30,60,243,P
44,46,64,30,35,73,292,P
121,94,76,81,72,85,529,P
115,85,89,38,35,45,407,P
90,90,89,67,76,88,500,P
96,75,91,67,69,85,483,P
73,47,35,56,35,30,276,P
83,68,85,75,37,75,423,P
80,81,46,72,35,46,360,P
117,99,97,88,74,87,562,P
90,37,65,41,47,56,336,P
87,97,83,56,56,69,448,P
71,66,91,50,53,80,411,P
49,7,46,61,66,58,287,F
45,55,38,61,40,45,284,P
111,82,51,64,59,71,438,P
99,85,70,73,70,91,488,P
102,95,54,92,70,83,496,P
99,97,52,64,74,66,452,P
62,69,53,44,70,60,358,P
50,39,40,35,30,35,229,P
100,36,75,65,35,80,391,P
102,90,92,90,86,97,557,P
97,82,52,63,39,81,414,P
105,50,30,39,37,63,324,P
90,64,96,56,52,71,429,P
75,77,81,77,61,63,434,P
81,47,78,30,41,54,331,P
50,35,35,40,30,30,220,P
123,96,97,92,97,98,603,P
81,36,35,51,35,41,279,P
18,15,10,9,15,8,75,F
46,7,9,35,5,47,149,F
106,88,77,54,51,78,454,P
56,6,35,35,17,41,190,F
110,91,65,95,86,95,542,P
81,40,35,25,35,14,230,F
77,83,65,30,35,70,360,P
101,83,60,64,50,55,413,P
46,8,43,35,23,17,172,F
38,35,35,31,35,35,209,F
57,78,50,64,53,57,359,P
3,9,9,11,16,12,60,F
115,52,50,43,42,57,359,P
27,35,40,17,18,22,159,F
45,35,35,37,30,30,212,F
12,35,18,36,30,25,156,F
99,91,82,72,67,82,493,P
46,55,61,49,30,30,271,P
38,84,68,35,37,56,318,P
97,90,40,77,52,50,406,P
86,96,81,75,70,93,501,P
17,19,37,50,47,35,205,F
48,65,41,7,49,76,286,F
53,18,11,37,35,11,165,F
44,40,30,35,45,39,233,P
8,63,35,37,35,50,228,F
38,35,6,16,9,16,120,F
78,50,35,47,49,58,317,P
39,30,48,30,35,37,219,P
75,54,48,40,37,35,289,P
110,85,87,65,53,91,491,P
120,92,79,74,76,63,504,P
100,97,82,78,87,85,529,P
119,97,98,79,90,93,576,P
105,83,72,73,72,71,476,P
70,70,75,60,60,83,418,P
107,70,81,61,65,82,466,P
104,40,47,38,35,76,340,P
7,35,35,19,24,35,155,F
97,75,58,61,45,71,407,P
93,37,30,45,30,46,281,P
22,61,38,39,44,51,255,F
105,99,94,76,77,90,541,P
48,64,37,45,44,86,324,P
121,97,98,97,96,96,605,P
87,39,47,45,42,45,305,P
95,77,44,88,67,85,456,P
107,78,80,61,43,72,441,P
68,79,65,67,53,84,416,P
82,68,78,56,46,42,372,P
114,93,95,89,90,96,577,P
102,81,87,77,68,66,481,P
89,44,62,62,46,65,368,P
8,35,35,36,47,46,207,F
121,98,84,88,85,94,570,P
57,37,30,64,55,75,318,P
59,61,35,37,52,63,307,P
100,89,82,80,73,88,512,P
65,75,54,66,66,47,373,P
107,60,45,54,49,85,400,P
68,39,71,44,55,41,318,P
97,68,44,68,55,67,399,P
64,51,72,62,42,82,373,P
52,54,10,15,12,43,186,F
44,40,35,39,24,18,200,F
49,35,35,37,16,21,193,F
84,63,69,70,59,57,402,P
47,30,38,49,39,40,243,P
61,60,35,15,30,16,217,F
113,97,87,84,77,90,548,P
112,98,85,94,67,99,555,P
101,90,87,51,44,55,428,P
60,37,51,42,30,30,250,P
121,95,97,94,90,99,596,P
58,35,13,15,17,N\A,138,F
81,40,43,30,40,43,277,P
10,40,35,35,30,38,188,F
123,74,96,75,90,87,545,P
120,93,94,85,90,96,578,P
69,42,53,69,60,63,356,P
112,90,83,82,76,81,524,P
22,40,35,44,43,35,219,F
103,98,93,88,84,78,544,P
38,45,37,48,41,46,255,P
38,79,66,54,42,44,323,P
115,85,92,84,85,87,548,P
N\A,0,0,N\A,0,N\A,0,F
92,81,51,67,69,74,434,P
45,18,35,35,35,30,198,F
46,35,16,21,30,13,161,F
112,72,94,66,63,80,487,P
57,50,30,42,53,30,262,P
38,9,36,30,23,35,171,F
44,15,35,31,20,10,155,F
16,35,35,35,36,35,192,F
120,67,98,100,92,92,569,P
47,48,30,45,35,57,262,P
49,37,38,14,30,39,207,F
26,66,43,16,25,7,183,F
74,51,61,40,60,70,356,P
122,98,98,92,95,97,602,P
50,35,35,47,39,40,246,P
54,60,36,30,35,73,288,P
93,88,72,70,83,82,488,P
103,85,96,71,60,72,487,P
62,61,42,40,57,52,314,P
104,48,62,60,52,70,396,P
67,36,53,30,36,50,272,P
29,57,16,22,25,70,219,F
11,8,12,10,13,6,60,F
123,92,99,76,87,84,561,P
104,84,70,72,60,82,472,P
4,35,35,19,16,35,144,F
100,92,86,92,73,88,531,P
90,87,91,86,82,87,523,P
123,100,98,96,96,98,611,P
113,56,57,77,49,51,403,P
125,98,96,96,93,98,606,P
81,79,74,60,44,56,394,P
29,4,11,15,25,35,119,F
21,14,17,18,30,24,124,F
120,99,83,85,94,95,576,P
44,52,35,51,45,50,277,P
69,43,50,41,40,42,285,P
76,35,43,47,38,54,293,P
64,50,42,44,35,50,285,P
53,30,65,36,30,36,250,P
46,35,35,32,16,35,199,F
96,98,90,96,83,95,558,P
86,86,88,48,59,82,449,P
60,51,76,36,41,43,307,P
89,30,54,49,44,55,321,P
105,93,84,83,78,74,517,P
124,96,90,82,85,97,574,P
45,36,50,14,30,38,213,F
62,70,70,71,62,69,404,P
23,15,42,8,26,19,133,F
17,60,18,30,35,36,196,F
118,86,96,94,88,80,562,P
75,40,30,30,30,35,240,P
7,13,11,18,23,30,102,F
71,35,11,15,35,39,206,F
96,63,77,65,54,68,423,P
95,46,40,51,49,51,332,P
101,60,64,54,51,65,395,P
61,87,39,48,47,51,333,P
44,56,35,23,23,19,200,F
11,40,35,18,20,11,135,F
101,91,77,58,68,78,473,P
108,96,83,90,92,90,559,P
39,42,35,38,30,35,219,P
110,60,90,54,41,39,394,P
101,94,67,70,49,50,431,P
54,7,35,13,35,22,166,F
76,89,50,66,54,81,416,P
116,80,82,52,40,56,426,P
38,10,35,40,23,39,185,F
97,70,70,93,67,49,446,P
21,1,5,5,5,4,41,F
49,35,35,50,31,35,235,P
64,35,35,45,40,51,270,P
89,94,84,83,85,85,520,P
96,84,99,85,67,85,516,P
N\A,N\A,35,N\A,0,N\A,35,F
67,52,30,53,42,47,291,P
119,91,97,94,92,95,588,P
110,95,81,66,87,85,524,P
38,80,30,55,52,74,329,P
111,87,68,74,73,97,510,P
102,94,96,85,72,88,537,P
32,35,35,24,30,42,198,F
95,54,50,61,57,81,398,P
98,90,84,35,30,52,389,P
117,91,86,95,92,94,575,P
46,68,60,47,39,58,318,P
18,35,35,8,37,40,173,F
55,37,35,30,54,47,258,P
49,41,37,20,30,17,194,F
58,65,30,30,31,37,251,P
93,64,54,59,48,65,383,P
104,97,91,80,86,85,543,P
113,69,58,71,57,71,439,P
80,66,82,57,42,46,373,P
96,68,78,50,37,40,369,P
46,85,61,59,50,76,377,P
105,62,52,60,45,70,394,P
16,39,12,12,18,36,133,F
110,90,76,78,79,86,519,P
9,35,18,2,8,9,81,F
112,85,92,70,63,84,506,P
49,47,52,35,35,40,258,P
58,83,42,44,40,41,308,P
79,85,84,58,69,63,438,P
105,99,90,70,70,85,519,P
121,97,97,98,95,98,606,P
22,43,38,37,35,62,237,F
9,40,58,18,21,13,159,F
90,63,35,35,42,43,308,P
20,39,37,55,14,17,182,F
110,95,82,65,54,79,485,P
108,90,93,68,80,84,523,P
93,60,52,75,55,60,395,P
48,50,3,10,6,39,156,F
52,35,30,48,35,48,248,P
N\A,35,44,N\A,0,N\A,79,F
86,74,84,68,44,57,413,P
67,72,59,60,42,58,358,P
88,81,39,60,52,84,404,P
83,35,65,53,35,61,332,P
90,83,65,71,59,61,429,P
72,60,50,36,40,41,299,P
38,4,9,37,15,26,129,F
N\A,N\A,N\A,N\A,0,N\A,0,F
86,51,81,46,47,66,377,P
103,95,86,62,67,85,498,P
87,83,69,66,57,71,433,P
54,35,54,38,30,38,249,P
112,77,73,86,62,78,488,P
38,11,35,30,23,23,160,F
90,68,74,73,60,77,442,P
68,40,30,38,38,47,261,P
97,77,77,53,46,71,421,P
108,65,50,78,77,83,461,P
55,40,35,49,40,50,269,P
N\A,N\A,N\A,N\A,0,N\A,0,F
84,84,91,78,64,70,471,P
110,96,97,85,97,92,577,P
65,43,74,45,47,35,309,P
15,12,9,7,4,5,52,F
104,93,81,78,87,87,530,P
38,68,35,57,42,49,289,P
63,56,66,63,46,47,341,P
119,64,85,45,46,51,410,P
101,76,57,42,46,90,412,P
92,60,57,68,30,35,342,P
91,45,30,45,30,51,292,P
118,84,90,90,66,86,534,P
24,35,35,35,30,30,189,F
38,60,50,30,30,30,238,P
121,97,91,76,87,93,565,P
28,35,50,10,15,15,153,F
38,44,40,35,31,51,239,P
70,52,56,35,42,40,295,P
46,N\A,N\A,N\A,0,N\A,46,F
44,70,30,45,45,45,279,P
84,81,74,63,53,73,428,P
73,35,37,40,41,76,302,P
60,30,35,40,35,35,235,P
83,35,54,61,48,60,341,P
98,88,78,72,70,66,472,P
114,92,77,71,83,84,521,P
60,50,54,58,30,45,297,P
100,90,83,54,76,72,475,P
93,47,68,66,38,66,378,P
90,40,35,72,38,66,341,P
25,40,35,30,26,30,186,F
38,42,44,30,39,60,253,P
50,40,30,30,35,47,232,P
78,78,88,59,63,70,436,P
51,52,30,51,30,60,274,P
105,78,75,45,42,63,408,P
53,35,49,30,30,50,247,P
109,96,79,81,76,92,533,P
33,45,67,22,23,30,220,F
100,90,41,70,53,80,434,P
119,98,97,95,96,97,602,P
50,40,49,30,39,36,244,P
124,98,97,88,92,98,597,P
N\A,N\A,N\A,N\A,0,N\A,0,F
78,35,30,37,57,52,289,P
65,72,51,44,36,50,318,P
27,61,35,30,21,22,196,F
46,35,35,35,30,30,211,F
102,57,97,61,46,52,415,P
110,77,90,64,68,82,491,P
54,70,46,65,65,73,373,P
83,70,51,64,45,59,372,P
78,44,37,51,51,50,311,P
97,86,64,52,42,81,422,P
39,60,71,45,38,35,288,P
54,N\A,N\A,N\A,44,N\A,98,F
87,80,64,35,35,50,351,P
76,60,74,73,73,44,400,P
107,75,65,44,44,50,385,P
115,87,90,71,92,93,548,P
98,95,67,86,86,93,525,P
105,91,82,78,69,61,486,P
99,35,65,40,41,60,340,P
97,36,30,42,37,86,328,P
64,30,72,30,30,47,273,P
111,97,90,71,80,88,537,P
85,75,56,58,47,57,378,P
38,46,35,35,30,35,219,P
23,11,54,22,19,17,146,F
38,50,35,18,30,11,182,F
108,85,90,80,69,80,512,P
79,71,60,56,35,43,344,P
46,35,42,30,43,35,231,P
51,52,52,55,72,61,343,P
86,64,46,43,36,35,310,P
101,60,30,48,30,37,306,P
81,44,30,47,50,30,282,P
38,39,35,43,35,42,232,P
62,73,36,46,41,84,342,P
44,35,35,40,30,43,227,P
113,86,90,64,73,84,510,P
80,83,84,82,63,82,474,P
56,18,35,5,35,47,196,F
56,37,43,38,31,35,240,P
94,36,46,42,58,70,346,P
59,38,35,14,17,58,221,F
108,88,81,82,71,88,518,P
105,88,91,78,76,85,523,P
70,80,54,63,61,71,399,P
52,50,65,65,41,51,324,P
79,48,36,57,53,49,322,P
12,35,35,24,19,35,160,F
121,89,51,62,76,90,489,P
90,87,79,64,70,80,470,P
97,63,75,73,74,79,461,P
86,51,47,48,37,36,305,P
95,92,75,80,94,94,530,P
44,65,50,62,37,30,288,P
44,15,17,40,15,40,171,F
38,13,12,18,35,18,134,F
50,72,42,14,26,48,252,F
103,86,79,55,59,74,456,P
31,16,35,21,39,44,186,F
38,69,35,56,35,36,269,P
70,71,35,49,31,44,300,P
63,87,35,60,37,65,347,P
38,35,54,38,30,30,225,P
59,82,61,52,40,85,379,P
75,86,55,46,42,73,377,P
45,86,88,82,62,90,453,P
95,77,66,69,61,73,441,P
100,44,30,70,58,74,376,P
66,81,83,43,48,62,383,P
38,35,35,47,26,17,198,F
76,80,50,30,30,49,315,P
107,90,85,77,82,90,531,P
101,72,46,54,35,69,377,P
84,30,39,37,30,40,260,P
59,56,45,12,38,62,272,F
101,66,55,43,35,92,392,P
12,35,35,17,23,3,125,F
103,97,75,63,73,85,496,P
101,64,56,37,42,48,348,P
107,96,75,63,59,90,490,P
96,62,75,53,66,80,432,P
125,95,98,99,93,96,606,P
107,95,88,90,71,89,540,P
102,41,52,42,35,64,336,P
69,77,84,63,45,64,402,P
118,98,94,88,91,96,585,P
44,35,36,N\A,37,46,198,F
N\A,N\A,N\A,N\A,0,N\A,0,F
116,94,74,82,90,85,541,P
121,95,94,73,88,88,559,P
87,91,88,88,88,87,529,P
97,30,70,75,66,63,401,P
97,46,63,55,51,53,365,P
103,44,55,65,44,64,375,P
106,94,71,55,57,90,473,P
89,75,92,53,61,57,427,P
18,17,45,18,23,14,135,F
100,61,65,60,52,78,416,P
109,72,94,73,66,79,493,P
17,12,17,11,20,12,89,F
44,15,35,35,21,18,168,F
N\A,N\A,N\A,N\A,0,N\A,0,F
60,30,54,30,43,50,267,P
100,87,71,75,70,66,469,P
90,65,60,64,35,55,369,P
97,82,80,65,55,70,449,P
75,36,30,30,37,51,259,P
95,48,57,44,53,71,368,P
110,86,85,81,82,95,539,P
118,88,85,68,69,87,515,P
71,70,46,45,47,50,329,P
63,80,58,74,79,89,443,P
60,12,56,42,35,30,235,F
107,90,85,70,69,67,488,P
87,82,77,68,49,68,431,P
72,35,45,30,37,41,260,P
44,35,37,19,16,40,191,F
79,75,76,57,44,75,406,P
61,35,45,13,19,41,214,F
N\A,N\A,N\A,N\A,0,N\A,0,F
100,35,43,54,61,60,353,P
91,85,71,78,70,69,464,P
88,52,37,50,38,60,325,P
121,87,94,95,97,94,588,P
63,42,14,7,49,11,186,F
44,18,41,30,35,35,203,F
106,85,70,83,66,62,472,P
63,60,50,67,46,58,344,P
44,43,50,30,43,41,251,P
45,11,35,52,30,45,218,F
71,78,65,41,38,48,341,P
114,80,91,75,86,82,528,P
45,35,50,35,69,35,269,P
67,71,65,36,30,55,324,P
48,30,30,52,35,74,269,P
83,75,54,76,56,72,416,P
77,38,65,71,56,80,387,P
100,90,91,77,83,96,537,P
16,37,16,30,30,35,164,F
63,66,57,67,42,63,358,P
97,85,86,65,73,87,493,P
63,35,11,19,17,46,191,F
47,60,30,54,41,41,273,P
47,36,44,30,30,44,231,P
9,35,14,30,25,20,133,F
83,74,70,46,52,70,395,P
109,68,45,37,50,53,362,P
70,30,38,30,35,44,247,P
44,35,35,22,12,22,170,F
50,80,65,54,47,84,380,P
23,35,37,35,22,8,160,F
106,95,90,86,84,95,556,P
57,35,35,22,20,37,206,F
56,30,37,44,35,36,238,P
93,88,93,71,79,85,509,P
77,30,52,50,39,66,314,P
75,43,43,48,44,81,334,P
80,66,39,36,35,43,299,P
90,77,80,79,63,89,478,P
85,35,49,35,42,36,282,P
82,43,86,62,55,46,374,P
62,42,39,30,35,36,244,P
105,71,92,76,66,77,487,P
50,35,35,30,39,30,219,P
44,15,35,11,45,7,157,F
51,35,35,36,18,30,205,F
64,31,80,36,44,50,305,P
16,37,15,17,35,17,137,F
121,99,91,98,96,99,604,P
13,52,46,41,19,19,190,F
73,52,57,42,36,60,320,P
38,38,39,44,35,56,250,P
50,30,36,36,46,30,228,P
44,35,35,23,20,40,197,F
50,16,18,15,14,6,119,F
45,37,47,42,63,43,277,P
63,66,41,66,52,48,336,P
92,62,48,36,40,43,321,P
93,85,30,52,52,75,387,P
83,74,95,70,45,64,431,P
106,95,94,82,83,85,545,P
101,91,94,74,51,86,497,P
97,68,80,71,66,73,455,P
44,N\A,N\A,N\A,0,N\A,44,F
118,89,87,80,59,67,500,P
44,35,N\A,35,38,35,187,F
55,53,40,58,41,66,313,P
64,35,67,52,36,52,306,P
103,85,77,83,63,57,468,P
109,87,83,80,85,95,539,P
106,80,87,66,41,38,418,P
80,35,30,36,30,40,251,P
38,80,50,49,41,91,349,P
110,67,55,77,53,76,438,P
88,62,65,82,85,67,449,P
103,83,78,70,68,80,482,P
80,35,8,39,30,30,222,F
45,12,35,19,30,56,197,F
94,84,60,55,62,88,443,P
101,85,86,62,72,76,482,P
64,88,80,71,48,79,430,P
53,49,30,35,42,65,274,P
107,65,70,51,47,57,397,P
110,45,50,36,48,50,339,P
110,96,96,98,95,92,587,P
75,64,63,74,58,68,402,P
94,56,76,49,40,65,380,P
84,86,85,52,64,69,440,P
48,35,35,44,30,30,222,P
20,35,35,50,44,62,246,F
38,40,35,35,41,61,250,P
9,47,41,30,71,35,233,F
111,79,80,77,74,95,516,P
82,54,68,55,37,45,341,P
51,30,35,30,37,40,223,P
3,17,35,9,7,10,81,F
96,88,94,82,71,86,517,P
74,73,84,76,66,62,435,P
97,89,94,58,60,73,471,P
81,84,59,50,42,75,391,P
47,43,40,59,47,44,280,P
66,52,30,41,35,30,254,P
107,87,84,55,53,75,461,P
44,35,35,40,19,30,203,F
70,73,69,52,43,41,348,P
90,61,67,60,42,55,375,P
90,96,74,62,60,60,442,P
113,96,85,69,70,89,522,P
46,35,36,35,35,35,222,P
44,60,18,15,35,12,184,F
48,35,13,30,47,22,195,F
69,55,72,44,45,65,350,P
48,35,35,30,30,44,222,P
87,77,86,63,30,63,406,P
55,48,62,37,38,50,290,P
99,81,96,62,54,58,450,P
54,42,30,47,35,50,258,P
46,30,30,47,43,35,231,P
51,30,44,36,30,38,229,P
45,35,4,N\A,10,30,124,F
70,43,30,35,37,61,276,P
100,60,41,57,46,79,383,P
81,80,55,61,61,55,393,P
115,98,82,75,75,88,533,P
117,92,93,81,88,91,562,P
23,44,35,54,22,21,199,F
107,85,90,90,72,88,532,P
N\A,N\A,N\A,N\A,0,N\A,0,F
71,57,40,30,31,38,267,P
61,56,51,50,41,43,302,P
8,44,78,22,23,30,205,F
5,35,7,18,16,8,89,F
87,58,43,30,38,39,295,P
61,30,41,47,44,43,266,P
87,73,73,45,41,45,364,P
100,92,83,72,66,75,488,P
108,94,72,77,86,83,520,P
92,77,72,55,78,77,451,P
100,58,80,30,55,51,374,P
55,39,35,30,31,31,221,P
60,57,62,35,37,51,302,P
86,71,35,51,39,40,322,P
117,94,78,66,66,81,502,P
51,75,30,49,30,50,285,P
92,78,81,45,50,68,414,P
18,18,13,13,22,35,119,F
48,35,35,25,24,25,192,F
38,61,30,35,40,44,248,P
105,80,98,72,55,79,489,P
66,47,30,52,45,30,270,P
96,94,84,69,65,76,484,P
90,51,65,47,40,52,345,P
72,30,35,35,48,41,261,P
55,37,10,42,36,37,217,F
113,94,91,87,79,87,551,P
120,78,72,56,45,85,456,P
45,35,35,37,21,N\A,173,F
38,43,35,35,30,43,224,P
38,40,30,43,36,45,232,P
50,50,30,40,30,35,235,P
96,64,86,68,57,52,423,P
44,15,35,35,30,22,181,F
44,42,35,24,39,8,192,F
54,66,78,58,35,30,321,P
47,75,67,50,35,30,304,P
44,35,35,30,23,36,203,F
84,85,40,50,42,57,358,P
44,35,35,8,14,35,171,F
26,35,36,18,13,5,133,F
30,35,35,30,23,14,167,F
89,77,41,50,56,67,380,P
48,36,46,37,38,30,235,P
102,53,57,62,65,79,418,P
85,85,76,51,38,40,375,P
76,58,83,74,44,69,404,P
65,30,30,38,30,42,235,P
120,99,99,91,99,99,607,P
20,35,35,49,39,47,225,F
95,59,51,30,40,60,335,P
44,35,35,25,30,20,189,F
87,61,36,41,38,30,293,P
30,11,73,17,24,13,168,F
98,57,50,73,40,71,389,P
108,77,65,43,30,35,358,P
92,49,74,57,50,78,400,P
20,52,35,48,46,30,231,F
N\A,N\A,50,N\A,0,N\A,50,F
101,82,79,73,67,82,484,P
98,45,71,55,51,51,371,P
100,85,77,71,51,83,467,P
106,68,78,71,61,72,456,P
50,17,68,13,30,36,214,F
75,76,60,43,45,70,369,P
85,52,30,48,31,30,276,P
48,35,12,39,52,30,216,F
124,97,91,87,95,90,584,P
124,90,87,87,79,80,547,P
75,36,41,13,13,36,214,F
38,35,35,35,30,47,220,P
85,46,42,35,41,55,304,P
118,96,92,81,90,97,574,P
50,35,15,30,21,25,176,F
87,71,36,42,53,48,337,P
38,35,36,35,30,30,204,F
100,83,72,77,72,55,459,P
64,40,91,74,45,66,380,P
46,65,52,43,42,44,292,P
12,9,15,14,22,35,107,F
100,85,76,57,65,80,463,P
15,7,8,10,13,15,68,F
38,35,42,35,23,35,208,F
71,51,78,35,30,39,304,P
2,56,17,23,50,43,191,F
N\A,N\A,N\A,N\A,0,N\A,0,F
84,81,50,68,75,70,428,P
51,35,40,8,5,35,174,F
54,46,35,18,24,35,212,F
79,74,50,38,40,30,311,P
50,36,35,35,24,30,210,F
61,71,81,48,30,44,335,P
46,35,36,40,8,40,205,F
63,35,41,35,32,77,283,P
78,12,15,24,39,38,206,F
74,30,36,52,37,60,289,P
57,38,36,53,39,45,268,P
17,12,13,21,23,17,103,F
112,51,43,71,41,73,391,P
101,90,83,80,58,84,496,P
7,12,15,16,24,35,109,F
82,44,42,68,44,65,345,P
104,78,86,81,66,85,500,P
112,60,78,67,62,96,475,P
46,35,35,35,21,25,197,F
N\A,N\A,N\A,N\A,0,N\A,0,F
50,30,35,61,52,50,278,P
44,30,30,30,30,63,227,P
46,40,35,41,35,62,259,P
80,30,55,38,39,42,284,P
38,35,50,54,44,46,267,P
44,30,30,44,35,44,227,P
73,50,39,48,49,67,326,P
97,55,61,52,40,84,389,P
76,38,43,47,35,55,294,P
22,35,35,45,53,52,242,F
109,88,56,83,69,87,492,P
121,73,70,67,76,88,495,P
76,43,30,63,52,47,311,P
48,54,44,50,46,71,313,P
2,35,35,38,38,41,189,F
91,36,50,51,60,65,353,P
106,90,77,75,69,83,500,P
114,54,84,88,63,95,498,P
90,46,58,77,60,80,411,P
72,60,57,71,70,79,409,P
92,42,61,64,39,54,352,P
22,35,35,7,36,36,171,F
13,35,35,35,47,44,209,F
89,57,65,54,44,52,361,P
72,52,51,46,37,82,340,P
70,30,50,45,43,48,286,P
51,35,35,20,23,36,200,F
87,43,54,40,41,47,312,P
87,44,36,36,45,44,292,P
63,40,38,41,36,61,279,P
62,11,15,38,22,40,188,F
11,35,35,30,9,12,132,F
44,35,43,70,50,78,320,P
104,38,62,41,68,69,382,P
19,35,35,35,49,37,210,F
79,35,58,61,54,38,325,P
103,40,68,69,66,63,409,P
117,70,58,75,57,82,459,P
112,87,80,80,81,95,535,P
4,8,18,16,5,21,72,F
67,53,30,36,61,71,318,P
53,30,40,35,40,30,228,P
91,50,31,59,47,75,353,P
44,30,40,30,37,44,225,P
61,40,42,56,43,70,312,P
48,35,11,30,47,16,187,F
61,48,53,67,53,57,339,P
116,69,47,56,75,83,446,P
22,35,35,36,35,45,208,F
57,37,13,25,16,55,203,F
73,52,81,44,54,52,356,P
102,63,40,47,35,65,352,P
80,35,N\A,N\A,51,N\A,166,F
40,43,35,46,36,55,255,P
38,30,35,42,40,35,220,P
75,30,51,61,63,56,336,P
55,50,67,42,30,41,285,P
71,35,30,38,36,35,245,P
44,45,30,62,48,55,284,P
76,38,38,58,55,78,343,P
54,35,35,46,45,50,265,P
85,35,42,52,65,82,361,P
68,35,41,38,48,61,291,P
48,35,35,N\A,0,N\A,118,F
45,35,35,35,13,41,204,F
81,85,40,64,57,72,399,P
77,51,52,62,51,52,345,P
44,36,30,39,45,41,235,P
44,35,8,35,9,35,166,F
95,37,37,30,53,78,330,P
62,44,44,41,48,68,307,P
68,36,51,56,18,20,249,F
32,10,44,42,36,43,207,F
64,30,35,35,46,72,282,P
77,37,49,46,35,77,321,P
69,35,35,50,35,65,289,P
69,30,37,48,35,74,293,P
55,54,35,40,30,37,251,P
83,50,42,52,57,58,342,P
87,48,56,45,40,52,328,P
100,77,73,50,53,99,452,P
26,35,35,37,21,20,174,F
21,6,39,35,44,39,184,F
110,63,90,90,65,93,511,P
67,35,35,44,53,64,298,P
69,10,50,52,24,71,276,F
58,30,46,45,45,69,293,P
98,74,62,60,67,79,440,P
83,44,39,45,34,60,305,P
54,41,46,60,54,70,325,P
90,73,43,56,54,65,381,P
50,35,35,24,20,58,222,F
50,42,36,45,37,47,257,P
73,39,65,50,38,48,313,P
39,40,35,43,39,42,238,P
96,82,51,59,55,72,415,P
63,42,31,35,37,43,251,P
89,54,54,60,60,92,409,P
44,12,35,35,12,14,152,F
47,35,35,35,7,36,195,F
85,45,70,50,51,70,371,P
44,35,12,36,39,61,227,F
51,11,14,30,44,48,198,F
39,30,30,39,51,30,219,P
86,44,57,51,35,73,346,P
46,30,35,60,44,48,263,P
70,30,30,47,30,40,247,P
8,37,17,35,17,40,154,F
46,30,30,51,41,71,269,P
115,70,80,70,61,95,491,P
38,44,30,48,40,66,266,P
82,42,30,60,41,50,305,P
119,94,91,87,80,98,569,P
63,35,57,70,49,70,344,P
63,38,39,53,35,71,299,P
77,35,56,30,37,38,273,P
24,14,35,21,17,35,146,F
55,47,35,46,56,67,306,P
38,30,35,30,30,66,229,P
58,30,39,50,44,67,288,P
47,56,30,38,30,58,259,P
61,30,30,37,30,50,238,P
91,81,45,76,60,69,422,P
77,30,75,49,30,60,321,P
92,78,87,71,50,66,444,P
