L1_MARKS_CORRECTED,L1_Marks_Corrected,L1_RESULT,L2_MARKS_CORRECTED,L2_RESULT,L3_MARKS_CORRECTED,L3_RESULT,S1_MARKS_CORRECTED,S1_RESULT,S2_MARKS_CORRECTED,S2_RESULT,S3_MARKS_CORRECTED,S3_RESULT,NRC_CLASS,NRC_RESULT
50,40,P,30,P,39,P,35,P,30,P,35,P,PASS,P
51,40,P,12,F,54,P,55,P,49,P,51,P,FAIL,F
73,58,P,12,F,9,F,30,F,30,F,36,P,FAIL,F
97,77,P,40,P,83,P,58,P,38,P,79,P,1,P
105,84,P,41,P,74,P,68,P,44,P,64,P,1,P
78,62,P,30,P,60,P,56,P,35,P,45,P,PASS,P
110,88,P,57,P,71,P,64,P,66,P,71,P,1,P
38,30,P,30,P,36,P,42,P,36,P,50,P,PASS,P
20,16,F,8,F,40,P,35,P,37,P,37,P,FAIL,F
68,54,P,30,P,35,P,49,P,41,P,35,P,PASS,P
103,82,P,65,P,88,P,75,P,47,P,80,P,1,P
97,77,P,45,P,70,P,51,P,46,P,64,P,2,P
50,40,P,35,P,35,P,13,F,22,F,15,F,FAIL,F
89,71,P,51,P,73,P,66,P,57,P,70,P,1,P
114,91,P,51,P,60,P,52,P,65,P,69,P,1,P
40,32,F,4,F,35,P,36,P,30,F,35,P,FAIL,F
20,16,F,5,F,3,F,16,F,35,P,12,F,FAIL,F
64,51,P,35,P,60,P,46,P,55,P,62,P,2,P
74,59,P,51,P,78,P,69,P,54,P,64,P,1,P
87,69,P,30,P,36,P,39,P,40,P,63,P,PASS,P
58,46,P,41,P,74,P,61,P,30,P,47,P,PASS,P
56,44,P,13,F,37,P,37,P,30,F,23,F,FAIL,F
6,4,F,9,F,35,P,9,F,8,F,24,F,FAIL,F
45,36,P,38,P,35,P,38,P,30,P,35,P,PASS,P
123,98,P,87,P,87,P,78,P,80,P,82,P,D   ,P
113,90,P,89,P,79,P,71,P,80,P,75,P,1,P
66,52,P,30,P,30,P,41,P,30,P,30,P,PASS,P
55,44,P,8,F,42,P,36,P,19,F,18,F,FAIL,F
61,48,P,80,P,47,P,63,P,45,P,66,P,2,P
N/A,N/A,A,N/A,A,N/A,A,N/A,A,0,F,N/A,A,FAIL,F
27,21,F,18,F,43,P,20,F,30,F,38,P,FAIL,F
26,20,F,35,P,53,P,53,P,25,F,16,F,FAIL,F
112,89,P,93,P,93,P,86,P,86,P,88,P,D   ,P
54,43,P,36,P,35,P,6,F,40,P,36,P,FAIL,F
86,68,P,53,P,83,P,58,P,43,P,N/A,A,FAIL,F
70,56,P,35,P,74,P,30,P,30,P,45,P,PASS,P
12,9,F,11,F,35,P,13,F,30,F,22,F,FAIL,F
77,61,P,38,P,47,P,62,P,49,P,53,P,2,P
12,9,F,2,F,4,F,13,F,30,F,9,F,FAIL,F
100,80,P,45,P,63,P,48,P,57,P,76,P,1,P
102,81,P,35,P,38,P,56,P,39,P,75,P,2,P
80,64,P,35,P,63,P,43,P,35,P,50,P,PASS,P
19,15,F,35,P,35,P,35,P,30,F,38,P,FAIL,F
80,64,P,43,P,35,P,56,P,50,P,58,P,PASS,P
20,16,F,9,F,44,P,30,F,42,P,44,P,FAIL,F
116,92,P,83,P,98,P,86,P,66,P,85,P,D   ,P
32,25,F,7,F,70,P,35,P,20,F,42,P,FAIL,F
85,68,P,30,P,30,P,49,P,44,P,67,P,PASS,P
62,49,P,40,P,60,P,38,P,35,P,52,P,PASS,P
75,60,P,30,P,50,P,35,P,30,P,30,P,PASS,P
72,57,P,30,P,72,P,47,P,41,P,46,P,PASS,P
93,74,P,36,P,86,P,55,P,36,P,53,P,2,P
46,36,P,4,F,11,F,38,P,44,P,77,P,FAIL,F
90,72,P,72,P,82,P,70,P,53,P,75,P,1,P
58,46,P,46,P,74,P,52,P,45,P,58,P,2,P
28,22,F,13,F,10,F,22,F,13,F,21,F,FAIL,F
63,50,P,30,P,38,P,48,P,30,P,40,P,PASS,P
113,90,P,85,P,90,P,70,P,54,P,73,P,1,P
6,4,F,19,F,35,P,35,P,14,F,30,F,FAIL,F
74,59,P,30,P,64,P,57,P,30,P,50,P,PASS,P
48,38,P,6,F,35,P,30,F,12,F,37,P,FAIL,F
95,76,P,30,P,79,P,50,P,38,P,53,P,2,P
44,35,P,30,P,50,P,42,P,30,P,37,P,PASS,P
76,60,P,35,P,59,P,39,P,45,P,36,P,PASS,P
112,89,P,50,P,65,P,71,P,46,P,71,P,1,P
65,52,P,14,F,41,P,60,P,40,P,38,P,FAIL,F
68,54,P,43,P,47,P,37,P,30,P,74,P,PASS,P
58,46,P,45,P,36,P,35,P,41,P,50,P,PASS,P
120,96,P,89,P,80,P,83,P,73,P,84,P,1,P
80,64,P,35,P,67,P,35,P,47,P,55,P,2,P
103,82,P,62,P,80,P,57,P,41,P,70,P,1,P
117,93,P,91,P,95,P,94,P,87,P,89,P,D   ,P
19,15,F,35,P,35,P,31,F,20,F,16,F,FAIL,F
97,77,P,55,P,65,P,63,P,61,P,66,P,1,P
44,35,P,30,P,35,P,39,P,37,P,40,P,PASS,P
113,90,P,51,P,88,P,61,P,58,P,57,P,1,P
72,57,P,61,P,66,P,55,P,41,P,68,P,2,P
58,46,P,46,P,57,P,57,P,49,P,65,P,2,P
120,96,P,87,P,93,P,85,P,88,P,82,P,D   ,P
93,74,P,61,P,67,P,37,P,52,P,72,P,1,P
38,30,P,30,P,38,P,35,P,39,P,53,P,PASS,P
50,40,P,30,P,36,P,36,P,37,P,74,P,PASS,P
46,36,P,30,P,30,P,35,P,38,P,40,P,PASS,P
53,42,P,14,F,35,P,42,P,37,P,44,P,FAIL,F
85,68,P,30,P,72,P,46,P,35,P,62,P,2,P
52,41,P,43,P,62,P,59,P,46,P,58,P,2,P
32,25,F,35,P,36,P,21,F,30,F,43,P,FAIL,F
70,56,P,35,P,30,P,53,P,52,P,49,P,PASS,P
28,22,F,16,F,41,P,25,F,13,F,9,F,FAIL,F
70,56,P,51,P,65,P,70,P,48,P,60,P,2,P
65,52,P,30,P,45,P,44,P,36,P,46,P,PASS,P
76,60,P,30,P,60,P,56,P,43,P,61,P,2,P
80,64,P,14,F,50,P,35,P,20,F,21,F,FAIL,F
50,40,P,36,P,31,P,59,P,41,P,50,P,PASS,P
75,60,P,38,P,44,P,44,P,35,P,46,P,PASS,P
88,70,P,35,P,70,P,60,P,52,P,51,P,2,P
87,69,P,48,P,45,P,51,P,40,P,56,P,2,P
45,36,P,7,F,44,P,35,P,42,P,30,F,FAIL,F
N/A,N/A,A,N/A,A,N/A,A,N/A,A,0,F,N/A,A,FAIL,F
97,77,P,86,P,50,P,51,P,54,P,40,P,1,P
51,40,P,14,F,35,P,37,P,35,P,41,P,FAIL,F
90,72,P,43,P,51,P,69,P,44,P,73,P,2,P
4,3,F,14,F,35,P,41,P,17,F,35,P,FAIL,F
77,61,P,65,P,78,P,53,P,72,P,46,P,1,P
56,44,P,17,F,35,P,30,F,31,F,19,F,FAIL,F
78,62,P,30,P,76,P,35,P,35,P,30,P,PASS,P
60,48,P,31,P,41,P,51,P,45,P,51,P,PASS,P
94,75,P,63,P,74,P,75,P,48,P,47,P,1,P
108,86,P,70,P,80,P,65,P,69,P,81,P,1,P
92,73,P,82,P,76,P,56,P,37,P,51,P,1,P
78,62,P,30,P,38,P,37,P,30,P,30,P,PASS,P
119,95,P,74,P,76,P,69,P,46,P,72,P,1,P
62,49,P,30,P,63,P,45,P,30,P,35,P,PASS,P
18,14,F,9,F,10,F,37,P,35,P,16,F,FAIL,F
95,76,P,63,P,65,P,62,P,42,P,60,P,1,P
113,90,P,45,P,57,P,54,P,61,P,55,P,1,P
112,89,P,89,P,93,P,93,P,78,P,89,P,D   ,P
68,54,P,13,F,45,P,40,P,24,F,49,P,FAIL,F
85,68,P,80,P,83,P,54,P,46,P,78,P,1,P
6,4,F,35,P,18,F,11,F,6,F,12,F,FAIL,F
89,71,P,30,P,60,P,56,P,45,P,74,P,2,P
70,56,P,35,P,30,P,38,P,35,P,35,P,PASS,P
103,82,P,64,P,51,P,60,P,55,P,40,P,2,P
88,70,P,40,P,40,P,44,P,52,P,63,P,2,P
114,91,P,62,P,62,P,78,P,53,P,56,P,1,P
21,16,F,35,P,35,P,30,F,18,F,11,F,FAIL,F
44,35,P,18,F,35,P,17,F,23,F,16,F,FAIL,F
105,84,P,69,P,86,P,68,P,48,P,66,P,1,P
108,86,P,42,P,91,P,72,P,64,P,87,P,1,P
101,80,P,13,F,62,P,39,P,54,P,51,P,FAIL,F
76,60,P,37,P,51,P,35,P,35,P,44,P,PASS,P
102,81,P,77,P,74,P,70,P,58,P,63,P,1,P
112,89,P,49,P,88,P,67,P,58,P,68,P,1,P
112,89,P,78,P,94,P,54,P,43,P,57,P,1,P
95,76,P,93,P,96,P,83,P,61,P,86,P,1,P
113,90,P,90,P,81,P,54,P,73,P,91,P,1,P
97,77,P,61,P,68,P,67,P,52,P,74,P,1,P
116,92,P,78,P,80,P,72,P,65,P,81,P,1,P
96,76,P,50,P,38,P,51,P,51,P,55,P,2,P
44,35,P,35,P,8,F,36,P,11,F,36,P,FAIL,F
12,9,F,15,F,45,P,35,P,22,F,40,P,FAIL,F
100,80,P,35,P,54,P,65,P,55,P,67,P,1,P
101,80,P,64,P,76,P,64,P,53,P,56,P,1,P
44,35,P,50,P,30,P,46,P,30,P,57,P,PASS,P
92,73,P,30,P,53,P,39,P,40,P,55,P,PASS,P
89,71,P,30,P,69,P,48,P,40,P,85,P,2,P
89,71,P,30,P,41,P,37,P,40,P,50,P,PASS,P
78,62,P,42,P,56,P,50,P,47,P,75,P,2,P
38,30,P,35,P,40,P,46,P,35,P,80,P,PASS,P
91,72,P,49,P,76,P,68,P,56,P,68,P,1,P
66,52,P,51,P,51,P,77,P,50,P,70,P,2,P
92,73,P,50,P,56,P,66,P,42,P,51,P,2,P
99,79,P,36,P,85,P,59,P,64,P,48,P,1,P
93,74,P,71,P,73,P,56,P,43,P,56,P,1,P
59,47,P,84,P,73,P,47,P,55,P,68,P,1,P
100,80,P,31,P,30,P,47,P,60,P,57,P,2,P
74,59,P,87,P,64,P,63,P,38,P,48,P,2,P
97,77,P,74,P,67,P,50,P,38,P,44,P,2,P
116,92,P,96,P,92,P,90,P,91,P,98,P,D   ,P
89,71,P,30,P,62,P,52,P,35,P,60,P,2,P
93,74,P,53,P,53,P,62,P,66,P,70,P,1,P
96,76,P,58,P,92,P,50,P,57,P,80,P,1,P
105,84,P,85,P,85,P,73,P,64,P,80,P,1,P
85,68,P,30,P,52,P,60,P,46,P,50,P,2,P
98,78,P,39,P,66,P,43,P,56,P,62,P,2,P
95,76,P,30,P,82,P,51,P,53,P,67,P,1,P
44,35,P,14,F,42,P,48,P,41,P,52,P,FAIL,F
102,81,P,68,P,73,P,76,P,51,P,79,P,1,P
91,72,P,35,P,42,P,30,P,30,P,52,P,PASS,P
38,30,P,52,P,35,P,30,P,30,P,40,P,PASS,P
108,86,P,51,P,85,P,58,P,76,P,85,P,1,P
96,76,P,80,P,53,P,74,P,50,P,60,P,1,P
67,53,P,45,P,75,P,51,P,46,P,74,P,2,P
60,48,P,35,P,42,P,37,P,14,F,35,P,FAIL,F
99,79,P,59,P,94,P,66,P,39,P,54,P,1,P
120,96,P,75,P,77,P,71,P,70,P,98,P,1,P
65,52,P,N/A,A,64,P,N/A,A,0,F,45,P,FAIL,F
65,52,P,30,P,66,P,55,P,38,P,46,P,PASS,P
109,87,P,77,P,91,P,72,P,68,P,75,P,1,P
48,38,P,30,P,52,P,30,P,30,P,45,P,PASS,P
22,17,F,4,F,14,F,14,F,30,F,12,F,FAIL,F
82,65,P,30,P,44,P,47,P,30,P,43,P,PASS,P
101,80,P,77,P,85,P,68,P,72,P,85,P,1,P
115,92,P,60,P,88,P,85,P,71,P,89,P,1,P
115,92,P,85,P,86,P,78,P,62,P,67,P,1,P
121,96,P,71,P,81,P,74,P,52,P,90,P,1,P
56,44,P,11,F,35,P,39,P,37,P,26,F,FAIL,F
N/A,N/A,A,N/A,A,N/A,A,N/A,A,0,F,N/A,A,FAIL,F
73,58,P,46,P,63,P,78,P,35,P,35,P,2,P
71,56,P,46,P,76,P,51,P,37,P,66,P,2,P
92,73,P,52,P,72,P,63,P,45,P,71,P,1,P
44,35,P,37,P,81,P,37,P,50,P,42,P,PASS,P
85,68,P,53,P,54,P,46,P,43,P,66,P,2,P
57,45,P,60,P,63,P,52,P,37,P,35,P,PASS,P
107,85,P,62,P,68,P,58,P,65,P,71,P,1,P
55,44,P,8,F,37,P,43,P,31,F,56,P,FAIL,F
30,24,F,14,F,41,P,23,F,30,F,46,P,FAIL,F
68,54,P,30,P,45,P,54,P,42,P,47,P,PASS,P
N/A,N/A,A,N/A,A,40,P,37,P,40,P,38,P,FAIL,F
N/A,N/A,A,N/A,A,N/A,A,N/A,A,0,F,N/A,A,FAIL,F
94,75,P,90,P,82,P,78,P,86,P,81,P,1,P
27,21,F,3,F,36,P,36,P,30,F,30,F,FAIL,F
44,35,P,15,F,35,P,35,P,24,F,41,P,FAIL,F
60,48,P,30,P,61,P,30,P,40,P,30,P,PASS,P
46,36,P,35,P,35,P,35,P,39,P,41,P,PASS,P
86,68,P,66,P,84,P,39,P,42,P,43,P,2,P
94,75,P,58,P,90,P,65,P,76,P,65,P,1,P
44,35,P,6,F,9,F,35,P,30,F,25,F,FAIL,F
10,8,F,6,F,14,F,19,F,30,F,13,F,FAIL,F
78,62,P,30,P,54,P,45,P,56,P,56,P,2,P
84,67,P,30,P,77,P,60,P,37,P,60,P,2,P
76,60,P,37,P,55,P,60,P,42,P,60,P,2,P
N/A,N/A,A,N/A,A,N/A,A,N/A,A,0,F,N/A,A,FAIL,F
96,76,P,51,P,91,P,77,P,71,P,86,P,1,P
81,64,P,38,P,60,P,65,P,44,P,72,P,2,P
104,83,P,70,P,78,P,91,P,75,P,85,P,1,P
62,49,P,30,P,62,P,64,P,40,P,54,P,PASS,P
44,35,P,12,F,35,P,53,P,17,F,30,F,FAIL,F
89,71,P,61,P,86,P,67,P,45,P,60,P,1,P
73,58,P,68,P,67,P,52,P,40,P,64,P,2,P
69,55,P,56,P,50,P,61,P,43,P,48,P,2,P
38,30,F,10,F,35,P,36,P,35,P,35,P,FAIL,F
61,48,P,58,P,46,P,60,P,45,P,64,P,2,P
80,64,P,30,P,40,P,50,P,37,P,57,P,PASS,P
105,84,P,86,P,70,P,73,P,48,P,74,P,1,P
16,12,F,6,F,11,F,35,P,23,F,6,F,FAIL,F
9,7,F,16,F,14,F,24,F,14,F,18,F,FAIL,F
83,66,P,57,P,67,P,70,P,63,P,70,P,1,P
93,74,P,30,P,45,P,68,P,57,P,50,P,2,P
97,77,P,37,P,56,P,37,P,38,P,51,P,2,P
101,80,P,30,P,44,P,52,P,37,P,48,P,PASS,P
91,72,P,72,P,71,P,47,P,65,P,56,P,1,P
111,88,P,52,P,75,P,75,P,52,P,77,P,1,P
56,44,P,30,P,64,P,30,P,35,P,30,P,PASS,P
58,46,P,37,P,30,P,44,P,37,P,45,P,PASS,P
45,36,P,17,F,9,F,37,P,35,P,35,P,FAIL,F
54,43,P,18,F,36,P,19,F,14,F,17,F,FAIL,F
45,36,P,35,P,14,F,42,P,25,F,35,P,FAIL,F
109,87,P,66,P,85,P,58,P,43,P,76,P,1,P
122,97,P,97,P,85,P,85,P,95,P,92,P,D   ,P
86,68,P,35,P,44,P,55,P,44,P,67,P,2,P
44,35,P,17,F,14,F,37,P,23,F,25,F,FAIL,F
N/A,N/A,A,N/A,A,N/A,A,N/A,A,0,F,N/A,A,FAIL,F
60,48,P,40,P,36,P,30,P,30,P,47,P,PASS,P
82,65,P,60,P,50,P,42,P,30,P,41,P,PASS,P
85,68,P,48,P,52,P,58,P,58,P,80,P,1,P
45,36,P,9,F,35,P,21,F,36,P,39,P,FAIL,F
98,78,P,52,P,75,P,42,P,52,P,41,P,2,P
112,89,P,37,P,56,P,50,P,37,P,58,P,2,P
82,65,P,40,P,35,P,42,P,30,P,59,P,PASS,P
58,46,P,8,F,2,F,30,F,21,F,40,P,FAIL,F
60,48,P,39,P,35,P,30,P,30,P,35,P,PASS,P
121,96,P,71,P,52,P,65,P,65,P,92,P,1,P
69,55,P,30,P,35,P,30,P,35,P,35,P,PASS,P
26,20,F,35,P,14,F,30,F,15,F,25,F,FAIL,F
112,89,P,70,P,51,P,78,P,70,P,94,P,1,P
100,80,P,55,P,60,P,62,P,62,P,91,P,1,P
60,48,P,43,P,35,P,43,P,30,P,35,P,PASS,P
87,69,P,30,P,36,P,51,P,30,P,53,P,PASS,P
N/A,N/A,A,N/A,A,35,P,38,P,0,F,36,P,FAIL,F
53,42,P,13,F,35,P,44,P,35,P,30,F,FAIL,F
54,43,P,35,P,35,P,35,P,30,P,30,P,PASS,P
77,61,P,30,P,60,P,30,P,32,P,52,P,PASS,P
67,53,P,47,P,35,P,39,P,30,P,42,P,PASS,P
32,25,F,12,F,18,F,53,P,24,F,43,P,FAIL,F
51,40,P,19,F,6,F,26,F,35,P,30,F,FAIL,F
46,36,P,35,P,35,P,30,P,35,P,42,P,PASS,P
52,41,P,30,P,45,P,50,P,30,P,43,P,PASS,P
46,36,P,42,P,36,P,58,P,33,P,53,P,PASS,P
54,43,P,30,P,43,P,43,P,40,P,30,P,PASS,P
47,37,P,35,P,10,F,26,F,30,F,50,P,FAIL,F
38,30,P,30,P,46,P,35,P,38,P,63,P,PASS,P
105,84,P,68,P,82,P,68,P,41,P,78,P,1,P
44,35,P,35,P,14,F,46,P,35,P,55,P,FAIL,F
40,32,P,36,P,46,P,46,P,43,P,61,P,PASS,P
60,48,P,35,P,42,P,49,P,35,P,30,P,PASS,P
14,11,F,35,P,17,F,39,P,30,F,39,P,FAIL,F
56,44,P,35,P,50,P,41,P,30,P,44,P,PASS,P
114,91,P,57,P,77,P,85,P,66,P,90,P,1,P
45,36,P,10,F,35,P,15,F,14,F,20,F,FAIL,F
45,36,P,35,P,35,P,30,F,24,F,40,P,FAIL,F
106,84,P,60,P,70,P,64,P,65,P,52,P,1,P
87,69,P,30,P,35,P,35,P,30,P,45,P,PASS,P
50,40,P,10,F,17,F,35,P,22,F,15,F,FAIL,F
69,55,P,55,P,50,P,36,P,37,P,55,P,PASS,P
38,30,P,30,P,40,P,38,P,41,P,57,P,PASS,P
16,12,F,7,F,35,P,35,P,8,F,37,P,FAIL,F
112,89,P,37,P,50,P,58,P,48,P,80,P,1,P
120,96,P,82,P,88,P,80,P,80,P,95,P,D   ,P
72,57,P,30,P,42,P,37,P,31,P,55,P,PASS,P
103,82,P,82,P,85,P,73,P,85,P,99,P,1,P
45,36,P,30,P,35,P,37,P,43,P,37,P,PASS,P
101,80,P,66,P,66,P,50,P,36,P,78,P,1,P
85,68,P,80,P,71,P,72,P,54,P,88,P,1,P
50,40,P,N/A,A,37,P,N/A,A,0,F,N/A,A,FAIL,F
19,15,F,35,P,35,P,42,P,30,F,53,P,FAIL,F
78,62,P,76,P,52,P,50,P,30,P,41,P,2,P
110,88,P,67,P,64,P,73,P,56,P,51,P,1,P
113,90,P,74,P,82,P,38,P,75,P,85,P,1,P
106,84,P,66,P,72,P,78,P,84,P,82,P,1,P
94,75,P,36,P,35,P,54,P,43,P,44,P,PASS,P
111,88,P,61,P,63,P,57,P,52,P,65,P,1,P
80,64,P,35,P,73,P,44,P,37,P,69,P,2,P
64,51,P,30,P,35,P,42,P,30,P,37,P,PASS,P
17,13,F,10,F,5,F,30,F,19,F,20,F,FAIL,F
58,46,P,47,P,36,P,30,P,30,P,38,P,PASS,P
48,38,P,7,F,35,P,30,F,30,F,22,F,FAIL,F
52,41,P,35,P,35,P,25,F,23,F,24,F,FAIL,F
59,47,P,30,P,46,P,35,P,31,P,30,P,PASS,P
116,92,P,78,P,64,P,55,P,60,P,83,P,1,P
53,42,P,39,P,38,P,46,P,35,P,55,P,PASS,P
60,48,P,30,P,30,P,62,P,35,P,37,P,PASS,P
45,36,P,35,P,35,P,21,F,35,P,37,P,FAIL,F
66,52,P,36,P,30,P,45,P,45,P,53,P,PASS,P
33,26,F,13,F,16,F,35,P,38,P,51,P,FAIL,F
114,91,P,55,P,71,P,75,P,58,P,89,P,1,P
28,22,F,41,P,35,P,35,P,23,F,37,P,FAIL,F
14,11,F,35,P,19,F,30,F,37,P,22,F,FAIL,F
91,72,P,31,P,50,P,52,P,35,P,63,P,2,P
59,47,P,6,F,39,P,36,P,35,P,40,P,FAIL,F
103,82,P,57,P,47,P,50,P,52,P,72,P,1,P
80,64,P,60,P,60,P,53,P,63,P,68,P,1,P
46,36,P,35,P,35,P,30,F,24,F,39,P,FAIL,F
111,88,P,74,P,76,P,50,P,46,P,64,P,1,P
38,30,P,35,P,35,P,30,P,30,P,57,P,PASS,P
80,64,P,60,P,30,P,45,P,41,P,50,P,PASS,P
60,48,P,30,P,35,P,36,P,30,P,30,P,PASS,P
62,49,P,13,F,35,P,25,F,26,F,36,P,FAIL,F
N/A,N/A,A,N/A,A,N/A,A,N/A,A,0,F,37,P,FAIL,F
63,50,P,30,P,42,P,35,P,35,P,35,P,PASS,P
76,60,P,71,P,72,P,76,P,65,P,78,P,1,P
44,35,P,30,P,50,P,31,P,30,P,49,P,PASS,P
114,91,P,35,P,68,P,68,P,50,P,54,P,1,P
22,17,F,11,F,35,P,36,P,15,F,35,P,FAIL,F
21,16,F,35,P,43,P,18,F,9,F,44,P,FAIL,F
104,83,P,65,P,72,P,60,P,65,P,68,P,1,P
16,12,F,11,F,18,F,35,P,20,F,19,F,FAIL,F
71,56,P,80,P,61,P,49,P,50,P,79,P,1,P
20,16,F,17,F,36,P,37,P,35,P,36,P,FAIL,F
78,62,P,66,P,37,P,39,P,50,P,47,P,2,P
96,76,P,35,P,51,P,60,P,46,P,85,P,2,P
90,72,P,65,P,93,P,71,P,46,P,82,P,1,P
45,36,P,35,P,35,P,24,F,33,F,10,F,FAIL,F
90,72,P,86,P,60,P,70,P,62,P,67,P,1,P
94,75,P,50,P,76,P,53,P,69,P,56,P,1,P
87,69,P,58,P,35,P,71,P,57,P,72,P,1,P
8,6,F,15,F,5,F,12,F,5,F,19,F,FAIL,F
52,41,P,35,P,11,F,23,F,30,F,42,P,FAIL,F
58,46,P,30,P,30,P,38,P,35,P,44,P,PASS,P
21,16,F,13,F,3,F,12,F,2,F,5,F,FAIL,F
46,36,P,30,P,30,P,36,P,30,P,63,P,PASS,P
46,36,P,35,P,30,P,30,P,35,P,53,P,PASS,P
66,52,P,N/A,A,N/A,A,N/A,A,0,F,N/A,A,FAIL,F
54,43,P,40,P,30,P,35,P,31,P,43,P,PASS,P
55,44,P,46,P,41,P,80,P,35,P,49,P,PASS,P
93,74,P,48,P,76,P,47,P,36,P,60,P,2,P
82,65,P,90,P,79,P,65,P,61,P,61,P,1,P
61,48,P,63,P,35,P,44,P,40,P,72,P,2,P
44,35,P,38,P,18,F,37,P,35,P,25,F,FAIL,F
47,37,P,35,P,36,P,15,F,4,F,14,F,FAIL,F
122,97,P,64,P,90,P,63,P,74,P,80,P,1,P
49,39,P,30,P,35,P,47,P,35,P,57,P,PASS,P
57,45,P,30,P,30,P,35,P,30,P,37,P,PASS,P
114,91,P,85,P,83,P,80,P,46,P,79,P,1,P
78,62,P,37,P,41,P,46,P,31,P,35,P,PASS,P
68,54,P,30,P,30,P,46,P,31,P,60,P,PASS,P
85,68,P,40,P,61,P,55,P,38,P,45,P,2,P
109,87,P,30,P,50,P,76,P,56,P,67,P,1,P
48,38,P,30,P,54,P,30,P,30,P,36,P,PASS,P
49,39,P,30,P,30,P,53,P,37,P,35,P,PASS,P
30,24,F,7,F,18,F,30,F,22,F,11,F,FAIL,F
44,35,P,35,P,35,P,36,P,19,F,35,P,FAIL,F
89,71,P,39,P,30,P,43,P,46,P,51,P,PASS,P
16,12,F,8,F,12,F,30,F,30,F,7,F,FAIL,F
76,60,P,48,P,44,P,57,P,55,P,73,P,2,P
66,52,P,40,P,35,P,30,P,45,P,69,P,PASS,P
62,49,P,38,P,30,P,59,P,41,P,39,P,PASS,P
92,73,P,69,P,45,P,44,P,40,P,83,P,2,P
85,68,P,54,P,67,P,66,P,47,P,74,P,1,P
47,37,P,35,P,41,P,38,P,58,P,57,P,PASS,P
76,60,P,30,P,60,P,35,P,35,P,41,P,PASS,P
57,45,P,46,P,35,P,43,P,35,P,53,P,PASS,P
58,46,P,35,P,42,P,44,P,52,P,46,P,PASS,P
97,77,P,60,P,70,P,44,P,42,P,39,P,2,P
61,48,P,35,P,30,P,30,P,35,P,47,P,PASS,P
5,4,F,10,F,11,F,15,F,10,F,23,F,FAIL,F
73,58,P,30,P,42,P,50,P,35,P,50,P,PASS,P
55,44,P,44,P,30,P,54,P,47,P,60,P,PASS,P
49,39,P,35,P,44,P,40,P,35,P,49,P,PASS,P
21,16,F,16,F,35,P,35,P,24,F,35,P,FAIL,F
99,79,P,43,P,58,P,66,P,40,P,53,P,2,P
70,56,P,48,P,55,P,62,P,51,P,50,P,2,P
89,71,P,30,P,53,P,45,P,30,P,41,P,PASS,P
59,47,P,30,P,30,P,31,P,36,P,52,P,PASS,P
100,80,P,92,P,84,P,56,P,46,P,68,P,1,P
101,80,P,53,P,73,P,66,P,51,P,53,P,1,P
87,69,P,79,P,66,P,45,P,51,P,41,P,2,P
82,65,P,60,P,45,P,46,P,35,P,43,P,PASS,P
50,40,P,30,P,40,P,35,P,48,P,30,P,PASS,P
65,52,P,30,P,50,P,69,P,44,P,53,P,PASS,P
8,6,F,17,F,35,P,21,F,35,P,15,F,FAIL,F
47,37,P,30,P,30,P,45,P,43,P,30,P,PASS,P
85,68,P,30,P,30,P,42,P,37,P,59,P,PASS,P
92,73,P,58,P,74,P,58,P,56,P,84,P,1,P
7,5,F,8,F,35,P,20,F,24,F,35,P,FAIL,F
118,94,P,82,P,82,P,85,P,67,P,93,P,1,P
60,48,P,60,P,42,P,60,P,53,P,68,P,2,P
21,16,F,13,F,15,F,51,P,36,P,57,P,FAIL,F
60,48,P,30,P,60,P,35,P,35,P,36,P,PASS,P
29,23,F,35,P,35,P,39,P,35,P,30,F,FAIL,F
72,57,P,30,P,43,P,51,P,43,P,47,P,PASS,P
60,48,P,40,P,30,P,30,P,43,P,52,P,PASS,P
90,72,P,44,P,62,P,48,P,46,P,54,P,2,P
52,41,P,7,F,35,P,25,F,26,F,35,P,FAIL,F
120,96,P,70,P,88,P,84,P,62,P,88,P,1,P
44,35,P,35,P,30,P,39,P,52,P,54,P,PASS,P
21,16,F,13,F,35,P,46,P,30,F,37,P,FAIL,F
52,41,P,45,P,35,P,47,P,48,P,35,P,PASS,P
111,88,P,41,P,72,P,74,P,58,P,65,P,1,P
75,60,P,57,P,60,P,42,P,30,P,45,P,PASS,P
36,28,F,11,F,35,P,51,P,36,P,36,P,FAIL,F
94,75,P,53,P,72,P,54,P,43,P,52,P,2,P
115,92,P,82,P,86,P,77,P,64,P,83,P,1,P
95,76,P,30,P,35,P,61,P,61,P,78,P,2,P
38,30,P,30,P,30,P,48,P,40,P,36,P,PASS,P
N/A,N/A,A,N/A,A,N/A,A,N/A,A,0,F,N/A,A,FAIL,F
68,54,P,7,F,8,F,49,P,42,P,35,P,FAIL,F
52,41,P,39,P,30,P,46,P,44,P,43,P,PASS,P
124,99,P,71,P,52,P,75,P,47,P,71,P,1,P
112,89,P,88,P,74,P,51,P,77,P,88,P,1,P
100,80,P,36,P,56,P,68,P,56,P,74,P,1,P
75,60,P,56,P,35,P,44,P,42,P,81,P,2,P
60,48,P,77,P,71,P,66,P,63,P,83,P,1,P
44,35,P,35,P,30,P,44,P,35,P,47,P,PASS,P
114,91,P,42,P,64,P,58,P,45,P,60,P,1,P
